s__Campylobacter_hominis,s__Corynebacterium_sp_HFH0082,s__Dorea_unclassified,s__Facklamia_unclassified,s__Faecalibacterium_prausnitzii,s__Parvimonas_unclassified,s__Riemerella_unclassified,s__Rothia_mucilaginosa,s__Slackia_exigua,s__Staphylococcus_pettenkoferi,s__Streptococcus_infantis,s__Ureaplasma_parvum,s__Akkermansia_muciniphila,s__Bacteroides_vulgatus,s__Klebsiella_unclassified,s__Lachnospiraceae_bacterium_8_1_57FAA,s__Peptoniphilus_sp_BV3AC2,s__Peptostreptococcus_anaerobius,s__Atopobium_parvulum,s__Clostridiales_bacterium_BV3C26,s__Lactobacillus_rhamnosus,s__Streptococcus_constellatus,s__Streptococcus_intermedius,s__Bacteroides_uniformis,s__Eubacterium_rectale,s__Mobiluncus_unclassified,s__Pantoea_unclassified,s__Ruminococcus_obeum,s__Streptococcus_mitis_oralis_pneumoniae,s__Streptococcus_parasanguinis,s__Streptococcus_thermophilus,s__Atopobium_vaginae,s__Collinsella_aerofaciens,s__Corynebacterium_urealyticum,s__Lactobacillus_jensenii,s__Lactobacillus_vaginalis,s__Peptoniphilus_sp_oral_taxon_375,s__Ruminococcus_torques,s__Staphylococcus_warneri,s__Coriobacteriaceae_bacterium_BV3Ac1,s__Eggerthella_unclassified,s__Prevotella_disiens,s__Staphylococcus_simulans,s__Dialister_invisus,s__Slackia_unclassified,s__Veillonella_atypica,s__Gardnerella_vaginalis,s__Peptoniphilus_rhinitidis,s__Streptococcus_salivarius,s__Veillonella_parvula,s__Bifidobacterium_breve,s__Lactobacillus_iners,s__Bifidobacterium_dentium,s__Klebsiella_pneumoniae,s__Lactobacillus_crispatus,s__Staphylococcus_lugdunensis,s__Streptococcus_agalactiae,s__Veillonella_unclassified,s__Corynebacterium_amycolatum,s__Corynebacterium_striatum,s__Alloscardovia_omnicolens,s__Bifidobacterium_longum,s__Brevibacterium_massiliense,s__Fusobacterium_nucleatum,s__Porphyromonas_uenonis,s__Prevotella_bergensis,s__Peptoniphilus_duerdenii,s__Subdoligranulum_unclassified,s__Prevotella_bivia,s__Actinomyces_turicensis,s__Staphylococcus_hominis,s__Propionibacterium_avidum,s__Dialister_micraerophilus,s__Porphyromonas_asaccharolytica,s__Actinobaculum_massiliense,s__Corynebacterium_aurimucosum,s__Porphyromonas_somerae,s__Mobiluncus_curtisii,s__Pseudomonas_unclassified,s__Lactobacillus_gasseri,s__Staphylococcus_haemolyticus,s__Actinomyces_europaeus,s__Propionibacterium_acnes,s__Aerococcus_urinae,s__Anaerococcus_hydrogenalis,s__Anaerococcus_lactolyticus,s__Facklamia_ignava,s__Peptoniphilus_lacrimalis,s__Corynebacterium_pseudogenitalium,s__Escherichia_unclassified,s__Streptococcus_anginosus,s__Campylobacter_ureolyticus,s__Porphyromonas_bennonis,s__Corynebacterium_tuberculostearicum,s__Escherichia_coli,s__Prevotella_buccalis,s__Prevotella_timonensis,s__Propionimicrobium_lymphophilum,s__Anaerococcus_vaginalis,s__Anaerococcus_obesiensis,s__Enterococcus_faecalis,s__Actinobaculum_schaalii,s__Corynebacterium_pyruviciproducens,s__Actinomyces_neuii,s__Facklamia_hominis,s__Staphylococcus_epidermidis,s__Anaerococcus_prevotii,s__Varibaculum_cambriense,s__Peptoniphilus_harei,s__Finegoldia_magna
0,0,0,0,0,0,3304,0,0,7060,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,23461,0,331729,0,0,0,0,0,6296680,0,66443,0,622,0,0,0,0,0,0,0,0,0,0,0,54069731,0,5002504,0,0,0,0,0,0,0,0,73,0,1561,0,0,0,0,0,0,114791,0,0,0,0,0,70516,10682,0,42666,24534,19839,2987,38995,1627722,13437,45702,43678,54933,2735810,0,134326,12840,5548,34782629,20046,121461,496551,9889,2792,463104,156396,17900,193270,1437878,54603,1509418,74113,197525,1061289
0,0,0,0,0,38150,0,0,0,0,0,0,0,0,0,0,0,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140680,0,0,0,3677,0,0,0,292,0,0,0,0,0,0,178752,0,11176,0,20515657,0,0,0,0,0,0,0,0,10404,0,0,0,0,0,0,0,0,0,0,3700,0,0,4717,19141,9750,3463,732,15497,1280,0,0,0,19068,838,1937,0,0,1174,2112,0,0,4776,0,27,0,6271,2877,7496,9239,9330,3713,637,19369,1919,843
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,2623,0,0,0,0,9019,0,0,0,0,201642,0,0,113229,2534,0,0,0,0,0,0,0,621,170,0,184,58,0,7102,2007,0,0,1345,0,19260,0,112,0,1562,0,0,0,2192,0,28268,0,0,571,0,0,1593,1165,0,281,137,0,13,1308,0,6831,202,3997,9669,22397
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86116,0,0,0,0,0,48901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50192,3996,698,0,0,9297,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,133406,22852,0,14043,0,0,0,188,4844,0,3164,3303,1999,5381,67366,0,0,529,11404,432,3080,0,63222,49235,34636,2865,0,1679016,419249,7685,957,0,5730,42142,158810,899,0,100332,93402,22636,7745,225825,25659,21371,219083,823813,749274
0,0,0,0,0,0,1959,0,0,5000,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,234721,0,0,0,0,0,4455285,0,47008,0,442,0,0,0,0,0,0,0,0,0,0,0,38235171,0,3539576,0,0,0,0,0,471,0,0,52,0,0,0,0,0,0,0,0,81184,0,0,0,0,0,0,7559,0,30188,17361,12274,2012,8297,1149355,9262,31740,30903,38025,0,0,55985,9082,3925,0,14187,85946,0,547,1826,327668,0,12663,135931,964514,38601,1096387,51956,42351,737276
0,0,513,0,55,0,0,0,0,0,0,0,0,0,0,2245,0,14758,0,0,0,0,0,883,0,0,0,764,0,0,0,0,8101,0,0,0,0,3811,0,0,1753,0,85430,0,0,0,0,175,0,0,0,0,0,0,0,3752,0,0,0,0,0,0,0,0,0,0,0,11162,0,11105,0,0,0,17270,1738,0,0,0,11166,817733,131613,3639,68,0,36480,509,13332,8311,2692,0,15295,52863,1244,10628,169250,5781,0,0,88997,21263,1655241,0,0,15880,4265,205045,19712,2001,321103,1178735
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,0,0,0,0,0,0,3773,0,0,0,0,0,0,0,0,0,0,4482,0,85647,0,1061,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,0,0,0,188,0,8209
0,0,0,0,0,0,0,0,300,2426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3396,0,951,0,0,0,870500,0,0,0,2923,0,0,0,0,920,0,0,1305,5353,0,22659912,847,0,0,0,0,0,0,0,4432,0,0,0,0,43781,3562,65,36144,3520,10956,60932,0,13035,0,3747,4552,22250,6450,75157,5264,0,39987,0,936800,127,8857,0,15600,4964,0,9335,259753,2303,331,278383,129000,9596,4471,3142,76902,169973,148093,12257,2607,0,85609,107147,70910,56469,9847,19120,134110,463818,484809
14987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,516,0,0,0,0,20442392,2309,0,0,0,0,0,0,0,0,0,0,0,0,3830083,0,0,0,837,0,0,1341,6220,0,0,3745,2757,20,639,0,238,0,2126,0,0,0,4098,1440,1650,1369,393,11421,190,0,17581,472,1214,1258,190,2261,17958,0,214,1099,0,179,3316,18141,2793,18641,8081,8192,33318,74408
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12540,0,0,207355,0,0,12852,0,0,400,0,0,0,35364,0,0,0,0,56621,0,2873,0,0,0,0,0,0,0,0,2075,0,9285,0,0,0,0,0,0,0,2895,114216,7123,15451,5462,0,1979,0,0,0,0,551,10755,42303,36112
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4208,0,847769,105524,0,1320,0,0,0,0,0,0,0,0,196891,0,575,0,0,0,0,0,21359015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,1375,0,0,277
0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,616573,76,50484,0,0,565,358,669,0,0,0,28,0,0,296,0,650032,0,0,0,0,0,0,0,0,979,0,0,0,0,862,0,64318035,0,384272,0,0,0,16095,0,0,0,3136,0,0,0,145,0,0,296,269,57963,0,0,19790,1062,0,0,1427,2330,0,0,0,0,0,0,0,81744,689,1385,0,0,194066,4708,1723,0,0,0,124791,5673,0,90,0,6541,3102,314645,400,0,269,26290,35423,13786
0,0,1706,0,0,0,2334,0,0,0,0,0,978,0,0,0,105922,0,0,1948,0,0,0,0,758,0,0,0,0,475,10714,0,2078,424995,0,0,75399,0,23104,0,0,0,38828,0,0,0,0,150,359,0,0,0,0,0,0,152189,114513,0,1989,0,0,0,294075,0,20027,10503,77479,10969,0,0,0,0,3055,15045,0,190768,102683,9697,0,0,4416,47454,0,283882,76183,13907,1347297,137524,875,0,1667466,412445,35730,0,0,24760,554601,367707,24622,6773,7748,2041480,0,304,500767,3574,147554,397035,986305,419660
0,0,548,0,378,0,0,986,0,0,0,0,0,0,0,1321,0,0,926,0,0,92,42,1169,67,0,0,0,0,2487,0,0,0,0,3904,10002,39412,562,0,0,53,0,0,81279,0,0,0,0,10719,0,0,1761719,0,0,2453966,0,0,0,5413,180998,0,184,0,0,0,0,0,1215,95949,0,747550,0,5755,0,0,283154,8070,0,13207,7034,5162,11073,5996,0,102799,5321,341818,0,478440,615,32,0,31915,39850,304,0,0,0,23442,5741,0,0,281250,72637,367511,358911,147652,312963,26647,447458
0,0,0,0,0,0,0,4778,7960,0,0,0,0,0,0,0,0,0,0,0,861,0,0,0,0,0,0,2260,0,0,25658,6170,0,0,0,0,0,0,0,0,0,0,0,8261,26327,0,0,0,0,76215,572,0,0,0,0,0,357,19138,0,0,0,0,0,0,7099,0,0,0,83089,0,0,0,118840,4296,0,0,0,0,79898,0,0,0,31083,0,25407,1260658,0,0,0,0,684702,0,346951,0,2223,0,150255,0,1151,4272,187,0,272,50917,0,8063,3840,1006118,1272675,915031
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200601,86433,0,0,0,0,0,0,0,0,0,574,0,0,2016,0,0,0,0,0,22939389,5651,84,663,0,0,0,0,0,0,0,0,0,0,0,0,5292,0,0,0,0,0,0,0,4518,324127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,0,613,15531,1128,0,0,700
0,36944,0,0,0,0,0,0,0,0,0,0,0,0,1547,0,0,17942,0,0,0,0,0,111,0,0,0,0,1955,0,800,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,1587,0,533,0,249,701,0,420,376,0,0,0,0,86599,11656,0,0,268,0,2563,945,614,302,513,286,0,378401,0,512,3032,0,84218,1345,383,1154,1648,877,77243,19295,3664,1059,903571,50033,394,855,2605,4817,1030,0,968,2977,12384,1692,0,50983,37276,21264,44632,34856,50945,397775
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2821,0,0,686,0,0,109,0,759553,0,9600,0,0,0,13500282,318,0,0,0,2490,0,0,0,0,0,0,0,0,0,0,285,0,0,415,0,0,5882,0,0,0,0,8423,0,0,2342,0,0,819,0,909,0,0,0,0,0,0,0,0,594110,2533,18593,0,1382,0,0,0,0,2389
